Timestamp, Event, Value
19,612,Accelerate,1
19,629,Turn Left,1
19,629,Accelerate,1
19,645,Turn Left,1
19,645,Accelerate,1
19,662,Turn Left,1
19,662,Accelerate,1
19,679,Turn Left,1
19,680,Accelerate,1
19,695,Turn Left,1
19,695,Accelerate,1
19,713,Turn Left,1
19,713,Accelerate,1
19,728,Turn Left,1
19,729,Accelerate,1
19,744,Bullet Missed,1
19,745,Turn Left,1
19,745,Accelerate,1
19,762,Turn Left,1
19,762,Accelerate,1
19,779,Turn Left,1
19,779,Accelerate,1
19,794,Turn Left,1
19,795,Accelerate,1
19,812,Turn Left,1
19,812,Accelerate,1
19,829,Turn Left,1
19,829,Accelerate,1
19,846,Turn Left,1
19,846,Accelerate,1
19,862,Turn Left,1
19,862,Accelerate,1
19,878,Turn Left,1
19,878,Accelerate,1
19,895,Turn Left,1
19,895,Accelerate,1
19,912,Turn Left,1
19,912,Accelerate,1
19,929,Accelerate,1
19,946,Accelerate,1
19,962,Accelerate,1
19,979,Accelerate,1
19,995,Accelerate,1
20,012,Accelerate,1
20,028,Accelerate,1
20,047,Accelerate,1
20,062,Accelerate,1
20,079,Accelerate,1
20,095,Accelerate,1
20,112,Accelerate,1
20,129,Accelerate,1
20,145,Accelerate,1
20,162,Accelerate,1
20,178,Accelerate,1
20,195,Accelerate,1
20,212,Accelerate,1
20,228,Accelerate,1
20,245,Accelerate,1
